item sound pos delay
125 PRAC 1 0
124 PRAC 1 0
121 PRAC 1 0
123 PRAC 1 0
122 PRAC 1 0
126 PRAC 1 0
61 STD 4 0
62 STD 5 120
63 STD 2 0
21 DEV 4 0
47 DEV 2 0
2 DEV 5 120
66 STD 5 120
44 DEV 3 120
103 STD 2 0
39 DEV 2 0
31 DEV 2 0
36 DEV 3 120
43 DEV 2 0
78 STD 5 120
110 STD 5 120
80 STD 3 120
9 DEV 4 0
23 DEV 2 0
112 STD 3 120
7 DEV 2 0
94 STD 5 120
111 STD 2 0
116 STD 3 120
118 STD 5 120
12 DEV 3 120
56 DEV 3 120
37 DEV 4 0
24 DEV 3 120
79 STD 2 0
108 STD 3 120
59 DEV 2 0
97 STD 4 0
106 STD 5 120
67 STD 2 0
18 DEV 5 120
69 STD 4 0
53 DEV 4 0
51 DEV 2 0
84 STD 3 120
48 DEV 3 120
6 DEV 5 120
119 STD 2 0
101 STD 4 0
81 STD 4 0
117 STD 4 0
1 DEV 4 0
58 DEV 5 120
19 DEV 2 0
77 STD 4 0
54 DEV 5 120
60 DEV 3 120
13 DEV 4 0
35 DEV 2 0
107 STD 2 0
99 STD 2 0
4 DEV 3 120
26 DEV 5 120
71 STD 2 0
5 DEV 4 0
88 STD 3 120
104 STD 3 120
40 DEV 3 120
52 DEV 3 120
20 DEV 3 120
38 DEV 5 120
15 DEV 2 0
45 DEV 4 0
73 STD 4 0
28 DEV 3 120
109 STD 4 0
93 STD 4 0
3 DEV 2 0
75 STD 2 0
105 STD 4 0
25 DEV 4 0
16 DEV 3 120
32 DEV 3 120
92 STD 3 120
42 DEV 5 120
14 DEV 5 120
74 STD 5 120
70 STD 5 120
76 STD 3 120
49 DEV 4 0
113 STD 4 0
95 STD 2 0
65 STD 4 0
50 DEV 5 120
89 STD 4 0
27 DEV 2 0
98 STD 5 120
96 STD 3 120
85 STD 4 0
11 DEV 2 0
100 STD 3 120
83 STD 2 0
90 STD 5 120
33 DEV 4 0
46 DEV 5 120
34 DEV 5 120
102 STD 5 120
114 STD 5 120
8 DEV 3 120
91 STD 2 0
30 DEV 5 120
10 DEV 5 120
22 DEV 5 120
57 DEV 4 0
87 STD 2 0
64 STD 3 120
68 STD 3 120
29 DEV 4 0
115 STD 2 0
82 STD 5 120
41 DEV 4 0
17 DEV 4 0
55 DEV 2 0
86 STD 5 120
120 STD 3 120
72 STD 3 120
